
      08 Oct 2018
OSSOS corresondence list, for released blocks

This file is not intended to be a readable table, but rather a searchable
file to find the linkages between an OSSOS designation and the IAU Minor
Planet Center designations (which include both temporary, packed temporary,
and perhaps numbered or named designations).

E block

o3o28     K13J65N   2013JN65  
o3o29     K13J64L   2013JL64  
o3o30     K13J65T   2013JT65  
o3o31     K13J64D   2013JD64  
o3o32     K13J64G   2013JG64  
o3o33     K13J64J   2013JJ64  
o3o34     K13J64H   2013JH64  
o3o35     K13J65M   2013JM65  
o3o36     K13J64Q   2013JQ64  
o3o51     K13J67X   2013JX67  

H block

o4h01     K14UM5J   2014UJ225 Col3N02   
o4h02     K14UM9G   2014UG229 
o4h03     K14UM9Q   2014UQ229 
o4h04     K14UM9A   2014UA229 
o4h05     K14UM9X   2014UX229 
o4h06     K14UM8U   2014UU228 
o4h07     K10TI2J   2010TJ182 
o4h08PD   K04U10S   2004US10  
o4h09PD   K14UM8V   2014UV228 
o4h10     K14UM9U   2014UU229 
o4h11     K14UM9O   2014UO229 
o4h12     K14UM8W   2014UW228 
o4h13     K14UM9D   2014UD229 
o4h14     K14UM9S   2014US229 
o4h15     K14UM8H   2014UH228 
o4h16     K14UM9T   2014UT229 
o4h17     K14UM8O   2014UO228 
o4h18     K14UM8X   2014UX228 
o4h19     K14UM5K   2014UK225 
o4h20     K14UM5L   2014UL225 Col3N06   
o4h21     K14UM8G   2014UG228 
o4h22     K14UM9V   2014UV229 
o4h23     K14UM8J   2014UJ228 
o4h24     K14UM8B   2014UB228 Col3N04   
o4h25     K14UM9K   2014UK229 
o4h26     K14UM9B   2014UB229 
o4h27     K14UM9M   2014UM229 
o4h28     K14UM8Y   2014UY228 
o4h29     K14UM5H   2014UH225 
o4h31     K14UM5M   2014UM225 Col3N07   
o4h32     K14UM8E   2014UE228 
o4h33     K14UM8L   2014UL228 
o4h34     K14UM9E   2014UE229 
o4h36     K14UM9Z   2014UZ229 
o4h37     K14UM9F   2014UF229 
o4h38     K14UM9L   2014UL229 
o4h39     K07Th4C   2007TC434 Col3N05   
o4h40     K14UM8K   2014UK228 
o4h41     K14UM9H   2014UH229 
o4h42     K14UM9C   2014UC229 
o4h43     K14UM8S   2014US228 
o4h44     K13P76S   2013PS76  
o4h45     K14UM5D   2014UD225 Col3N03   
o4h46     K14UN0C   2014UC230 
o4h47     K14UM8T   2014UT228 
o4h48     K01RE3Y   2001RY143 
o4h49     K14UM8P   2014UP228 
o4h50     K14UM5E   2014UE225 Col3N01   
o4h51     K14UM8C   2014UC228 
o4h52     K14UM8Q   2014UQ228 
o4h53     K14UM9W   2014UW229 
o4h54     K14UM9Y   2014UY229 
o4h55     K14UM8D   2014UD228 
o4h56     K14UN1O   2014UO231 
o4h65     K14UN0A   2014UA230 Col3N11   
o4h67PD   K06QI0P   2006QP180 
o4h68     K14UM8M   2014UM228 
o4h69PD   J95Q09Y   1995QY9   (32929)   
o4h70     K14UM8F   2014UF228 
o4h71     K14UM8Z   2014UZ228 
o4h72     K14UM8R   2014UR228 
